PassengerId,Survived,Age,Fare,Family,IsMale,Embarked_C,Embarked_Q,Embarked_S,Location_A,Location_B,Location_C,Location_D,Location_E,Location_F,Location_G,Location_T,Location_U,Pclass_1,Pclass_2,Pclass_3
1,False,22.0,2.1102132003465894,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,True,38.0,4.2805931204649,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
3,True,26.0,2.188856327665703,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
4,True,35.0,3.9908341858524357,1,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
5,False,35.0,2.2027647577118348,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
6,False,24.0,2.246892662898172,0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
7,False,54.0,3.967694202798607,0,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
8,False,2.0,3.094445746490024,4,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
9,True,27.0,2.2027647577118348,2,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
10,True,14.0,3.436268471383741,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
11,True,4.0,2.2027647577118348,2,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
12,True,58.0,3.3160025355989236,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
13,False,20.0,2.2027647577118348,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
14,False,39.0,3.4742929367327062,6,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
15,False,14.0,2.180891922715322,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
16,True,55.0,2.833213344056216,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
17,False,2.0,3.405355391810819,5,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
18,True,29.0,2.639057329615259,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
19,False,31.0,2.9444389791664403,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
20,True,24.0,2.1071782966514356,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
21,False,35.0,3.295836866004329,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
22,True,34.0,2.639057329615259,0,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
23,True,15.0,2.2004637699272855,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
24,True,28.0,3.597312260588446,0,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
25,False,8.0,3.094445746490024,4,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
26,True,38.0,3.4777725458882283,6,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
27,False,24.0,2.1071782966514356,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
28,False,19.0,5.575949103146316,5,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
29,True,24.0,2.1837114628556327,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
30,False,24.0,2.1855792552411137,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
31,False,40.0,3.357621598945279,0,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
32,True,37.0,4.993969182787072,1,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
33,True,24.0,2.169053700369523,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
34,False,66.0,2.4423470353692043,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
35,False,28.0,4.115575906977352,1,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
36,False,42.0,3.970291913552122,1,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
37,True,24.0,2.1076888046179385,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
38,False,21.0,2.2027647577118348,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
39,False,18.0,2.9444389791664403,2,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
40,True,14.0,2.5048481563289,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
41,False,40.0,2.3489914658082016,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
42,False,27.0,3.091042453358316,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
43,False,24.0,2.1855792552411137,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
44,True,3.0,3.7513658711253766,3,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
45,True,19.0,2.1837114628556327,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
46,False,24.0,2.2027647577118348,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
47,False,24.0,2.803360380906535,1,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
48,True,24.0,2.169053700369523,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
49,False,24.0,3.121448204868825,2,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
50,False,18.0,2.9338568698359033,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
51,False,7.0,3.705920919968788,5,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
52,False,21.0,2.174751721484161,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
53,True,49.0,4.353230991152628,1,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
54,True,29.0,3.295836866004329,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
55,False,65.0,4.142804513146981,1,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
56,True,37.0,3.597312260588446,0,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
57,True,21.0,2.4423470353692043,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
58,False,28.5,2.1076888046179385,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
