PassengerId,Survived,Age,Fare,Family,IsMale,Embarked_C,Embarked_Q,Embarked_S,Location_A,Location_B,Location_C,Location_D,Location_E,Location_F,Location_G,Location_T,Location_U,Pclass_1,Pclass_2,Pclass_3
1,False,22.0,7.25,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
2,True,38.0,71.2833,1,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
3,True,26.0,7.925,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
4,True,35.0,53.1,1,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
5,False,35.0,8.05,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
6,False,24.0,8.4583,0,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
7,False,54.0,51.8625,0,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
8,False,2.0,21.075,4,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
9,True,27.0,8.05,2,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
10,True,14.0,30.0708,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
11,True,4.0,8.05,2,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True
12,True,58.0,26.55,0,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
13,False,20.0,8.05,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
14,False,39.0,31.275,6,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
15,False,14.0,7.8542,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
16,True,55.0,16.0,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
17,False,2.0,29.125,5,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
18,True,29.0,13.0,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
19,False,31.0,18.0,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
20,True,24.0,7.225,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
21,False,35.0,26.0,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
22,True,34.0,13.0,0,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
23,True,15.0,8.0292,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
24,True,28.0,35.5,0,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False
25,False,8.0,21.075,4,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
26,True,38.0,31.3875,6,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
27,False,24.0,7.225,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
28,False,19.0,263.0,5,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
29,True,24.0,7.8792,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
30,False,24.0,7.8958,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
31,False,40.0,27.7208,0,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
32,True,37.0,146.5208,1,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
33,True,24.0,7.75,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
34,False,66.0,10.5,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
35,False,28.0,60.287499999999994,1,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False
36,False,42.0,52.0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False
37,True,24.0,7.2292,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
38,False,21.0,8.05,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
39,False,18.0,18.0,2,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
40,True,14.0,11.2417,1,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
41,False,40.0,9.475,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
42,False,27.0,21.0,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
43,False,24.0,7.8958,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
44,True,3.0,41.5792,3,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False
45,True,19.0,7.8792,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
46,False,24.0,8.05,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
47,False,24.0,15.5,1,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
48,True,24.0,7.75,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True
49,False,24.0,21.6792,2,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
50,False,18.0,17.8,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
51,False,7.0,39.6875,5,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
52,False,21.0,7.8,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
53,True,49.0,76.7292,1,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
54,True,29.0,26.0,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
55,False,65.0,61.9792,1,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
56,True,37.0,35.5,0,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
57,True,21.0,10.5,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
58,False,28.5,7.2292,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
59,True,5.0,27.75,3,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False
60,False,11.0,46.9,7,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True
61,False,22.0,8.05,0,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
62,True,38.0,80.0,0,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
