Survived,Pclass,Sex,Age,SibSp,Parch,Fare,TicketGroupSize,FarePerPerson,HasCabin,FamilySize,Embarked_Q,Embarked_S,TicketPrefix_CA,TicketPrefix_NONE,TicketPrefix_PC,TicketPrefix_Rare,TicketPrefix_SOTONOQ,TicketPrefix_STONO,TicketPrefix_WC,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_Unknown,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,IsChild
0,3,0,22.0,1,0,7.25,1,7.25,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1,1,1,38.0,1,0,71.2833,1,71.2833,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,3,1,26.0,0,0,7.925,1,7.925,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,1,1,35.0,1,0,53.1,2,26.55,1,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,3,0,35.0,0,0,8.05,1,8.05,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,3,0,24.0,0,0,8.4583,1,8.4583,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,1,0,54.0,0,0,51.8625,1,51.8625,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,3,0,2.0,3,1,21.075,4,5.26875,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,3,1,27.0,0,2,12.475,3,4.158333333333333,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1,2,1,14.0,1,0,30.0708,2,15.0354,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
1,3,1,4.0,1,1,12.475,2,6.2375,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1,1,1,58.0,0,0,26.55,1,26.55,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,3,0,20.0,0,0,8.05,1,8.05,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,3,0,39.0,1,5,31.275,7,4.4678571428571425,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,3,1,14.0,0,0,7.8542,1,7.8542,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
1,2,1,55.0,0,0,16.0,1,16.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
0,3,0,2.0,4,1,29.125,5,5.825,0,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
